125062bf51422913fa9972fbd1a73ada9cfa07b3 6290 786 352 12245
04c767e8e65f1e68c74238d81195b565428f9048 5120 520 218 13306
54b27becc2d78ebab604e0b01b396510ac755672 5580 56 46 17179
b6db09f21b081bc0ed282ca0b5e0789755e4fa38 5460 27 21 17701
702bc7af18c765744d68f7e9c38d2aa2d7a457d0 7070 617 396 12875
5879ca9a516ece0d5065c07c60ae6b1e781c402d 9540 52 39 10032
5e8fef620225c3c13243ca157e59bb4e7c33250d 9540 55 39 9981
f0800301647a07dd2cfaa2e1fa591ba694ef9c8c 11430 676 848 7632
577144490490c68823754ef2f905da9dbc7803b7 10000 49 43 9557
8fb0e2a05b52b4693b1fc00e4101e08f427c5fbc 11569 1845 957 7276
032837b15c70d4fd51c6cf210b2495048f650e53 11580 112 64 6636
f869c3dff9af1ab47c4ef99e7c8f53c3e516b6d6 12129 958 443 6170
5d2bd7dbcd220f35892273ce0c812e07e31f1152 9780 42 35 9741
1780734d5f2391e528cd3f55abbf7ecabaa7443b 9860 50 38 9721
bc051eb443fd1f026601baef4ddc769d135b6373 11510 120 61 6171
bb5400a616e891ead1850a42303eedce95ea0bf1 10760 2306 988 7653
ff4f8b6628340500b31a1c7c3611d0208bcb65fc 10349 36 26 9052
76ebf8d3c2f3c71816004dd9436eea3c79fa7c8f 11560 53 52 7502
7b8bb377da401acb5348354b3b7388a3e21a8f62 9900 47 34 9644
69a9c6f25f40cfdb58bff3fe0aa50f81cba9eb7d 12090 313 400 6068
9f8da10d54d16facf27566c448b0b3e152e54812 11560 734 527 7485
7acf16d47cdcdbc9f21224a93dd285fd6e12907d 9840 38 34 9739
96a6317c759428936d30a5e4c43550990db8b66b 7794 46 31 11719
41e96a4384bc3ea4ecc5f23291ae6928d2e88d9e 7954 39 26 11702
c43c4d44b60da12026c74c9cc1e553efcd5d717c 7984 48 37 10991
45a7918143a98f1a9a20be5391b6c8f91de0c5c5 7982 57 35 10918
559045ecb2596539f2da66b9d1d9bcb216efdcc9 8010 63 44 10900
59b6d5a949adc20acea00448aae033d225d5c8e6 8158 73 48 10816
